year,content
2017,"Media training, Pew Research Center"
2017,"ICPSR Summer Workshop, “Machine Learning for the Analysis of Text as Data,” University of North Carolina at Chapel Hill."
2015,"Institute for the Study of Religion, Economics, and Society (IRES) fourth annual graduate student paper workshop, Chapman University, Orange, CA."
