year,content
2020,"**PhD, Sociology**"
,"Purdue University, West Lafayette, Indiana"
,"Dissertation title, “Religious Geography and Structural Inequality in the United States.” Committee members: Daniel V. A. Olson, Shawn Bauldry, Kevin Stainback, and Daniel Winchester."
\,
2015,"**MS, Sociology** "
,"Purdue University, West Lafayette, Indiana"
\,
2013,"**BS, Sociology**, *summa cum laude*   "
,University of Texas at Tyler 
,Double Minor: Philosophy and Psychology
